Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-17 18:53:17.731,0.001,TCP  ,192.168.220.12,50836,192.168.100.5,445.0,2,     174,1,.AP...,0,normal,---,---,---
2017-03-21 10:38:14.153,0.025,TCP  ,192.168.220.16,36305,10199_14,443.0,5,     453,1,.AP..F,0,normal,---,---,---
2017-03-20 15:30:34.288,0.0,TCP  ,11323_107,443,192.168.220.16,34175.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-18 18:54:08.754,0.0,TCP  ,192.168.220.12,50836,192.168.100.5,445.0,2,174,1,.AP...,0,normal,---,---,---
2017-03-16 12:32:29.829,0.026,TCP  ,11273_188,443,192.168.220.7,47680.0,3,     229,1,.AP..F,32,normal,---,---,---
2017-03-21 10:23:52.656,0.319,TCP  ,10135_93,80,192.168.210.5,61747.0,4,    2830,1,.AP.S.,32,normal,---,---,---
2017-03-16 09:39:37.443,0.065,TCP  ,10527_14,443,192.168.220.11,60620.0,5,     506,1,.AP...,32,normal,---,---,---
2017-03-15 06:34:09.701,0.015,TCP  ,192.168.210.5,59798,10483_126,80.0,2,     108,1,.A...F,0,normal,---,---,---
2017-03-20 11:30:37.478,0.0,TCP  ,10071_22,80,192.168.210.5,52176.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-18 01:29:30.444,0.0,TCP  ,EXT_SERVER,8082,192.168.200.8,49192.0,1,     200,1,.AP...,32,normal,---,---,---
2017-03-16 08:42:33.695,0.0,UDP  ,192.168.220.15,38202,DNS,53.0,2,     150,1,......,0,normal,---,---,---
2017-03-16 08:37:50.206,0.0,TCP  ,192.168.220.15,51330,10056_241,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-16 15:48:29.995,0.0,TCP  ,192.168.220.7,42428,10087_49,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 14:58:12.860,0.0,TCP  ,13897_193,80,192.168.210.5,52713.0,1,      66,1,.A..S.,32,normal,---,---,---
2017-03-15 06:24:14.145,0.0,TCP  ,10076_237,80,192.168.220.4,50863.0,1,      74,1,.A..S.,32,normal,---,---,---
2017-03-21 17:16:18.470,0.058,TCP  ,192.168.220.13,57851,10068_34,443.0,4,    1719,1,.AP...,0,normal,---,---,---
2017-03-16 08:08:58.126,0.394,TCP  ,10622_14,443,192.168.220.7,55255.0,5,    5074,1,.AP.S.,32,normal,---,---,---
2017-03-16 13:55:25.012,0.0,TCP  ,192.168.220.12,42073,10163_60,443.0,2,     108,1,.A...F,0,normal,---,---,---
2017-03-16 07:51:19.496,0.091,TCP  ,10504_198,443,192.168.220.7,45627.0,7,    5079,1,.AP.SF,0,normal,---,---,---
2017-03-15 09:12:07.730,0.022,TCP  ,192.168.210.4,49808,10438_216,80.0,2,     570,1,.AP...,0,normal,---,---,---
2017-03-15 07:57:52.599,0.0,TCP  ,192.168.220.4,42636,10135_236,443.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-15 09:23:25.509,0.003,TCP  ,11034_229,443,192.168.220.6,42316.0,2,     108,1,.A...F,0,normal,---,---,---
2017-03-17 16:51:15.996,0.004,UDP  ,192.168.220.4,42735,DNS,53.0,2,     152,1,......,0,normal,---,---,---
2017-03-20 17:37:16.992,0.0,TCP  ,192.168.220.14,57563,10071_22,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 17:44:30.016,0.015,TCP  ,10057_29,80,192.168.220.4,39468.0,2,     132,1,.A...F,32,normal,---,---,---
2017-03-15 15:22:33.598,0.0,TCP  ,10012_51,80,192.168.200.4,43603.0,1,      74,1,.A..S.,32,normal,---,---,---
2017-03-21 08:10:25.456,1.018,TCP  ,192.168.220.13,54294,14254_8,80.0,3,     206,1,.A..S.,0,normal,---,---,---
2017-03-20 12:35:31.651,0.177,TCP  ,192.168.220.16,45849,10064_169,443.0,12,    2360,1,.AP.S.,0,normal,---,---,---
2017-03-21 08:53:13.003,0.0,TCP  ,10827_172,443,192.168.220.9,34028.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-20 09:54:55.088,0.0,TCP  ,10223_4,80,192.168.220.16,43638.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 17:05:10.886,0.121,TCP  ,192.168.220.13,32898,10106_93,443.0,8,    1131,1,.AP.S.,0,normal,---,---,---
2017-03-16 11:19:54.828,0.0,TCP  ,12324_27,80,192.168.220.16,45227.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 17:18:48.877,0.0,TCP  ,10305_212,443,192.168.210.5,56788.0,1,      54,1,.A....,32,normal,---,---,---
2017-03-15 13:22:32.603,0.033,TCP  ,192.168.220.4,58298,10499_34,443.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-20 17:39:19.103,0.0,TCP  ,10093_150,80,192.168.210.5,57436.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-15 07:57:38.725,0.002,UDP  ,DNS,53,192.168.220.4,32954.0,2,     210,1,......,0,normal,---,---,---
2017-03-20 13:42:10.009,0.0,TCP  ,192.168.220.15,50733,10085_31,443.0,1,      66,1,.A...F,0,normal,---,---,---
2017-03-15 12:16:01.056,0.0,TCP  ,10056_125,443,192.168.200.8,49863.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-16 15:26:59.803,0.0,UDP  ,192.168.200.8,65302,DNS,53.0,1,      73,1,......,0,normal,---,---,---
2017-03-16 07:13:29.866,0.327,TCP  ,192.168.220.15,46058,10580_12,443.0,8,    2965,1,.AP.S.,0,normal,---,---,---
2017-03-18 22:58:11.176,0.0,TCP  ,192.168.100.5,445,192.168.220.16,50468.0,1,108,1,.AP...,0,normal,---,---,---
