Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType
2017-03-20 13:33:35.663,0.0,TCP  ,10800_11,80,192.168.210.5,58945.0,1,      54,1,.A...F,32,normal,---
2017-03-18 07:26:17.054,0.182,TCP  ,10107_39,443,192.168.220.7,45400.0,7,    6642,1,.AP.S.,32,normal,---
2017-03-20 06:56:42.826,0.024,TCP  ,192.168.220.6,52771,10471_80,80.0,2,     132,1,.A...F,0,normal,---
2017-03-21 07:10:00.344,0.004,UDP  ,192.168.220.15,45106,DNS,53.0,2,     146,1,......,0,normal,---
2017-03-20 17:27:28.966,0.0,TCP  ,10022_249,443,192.168.200.8,53343.0,1,      66,1,.A....,32,normal,---
2017-03-21 10:38:33.514,0.0,UDP  ,DNS,53,192.168.210.5,60994.0,1,     208,1,......,0,normal,---
2017-03-21 15:58:25.051,0.0,TCP  ,192.168.220.14,45729,10163_11,80.0,1,      54,1,.A...F,0,normal,---
2017-03-15 13:36:47.237,0.0,TCP  ,10889_90,80,192.168.200.8,59017.0,1,      66,1,.A....,32,normal,---
2017-03-17 12:01:03.462,0.0,TCP  ,192.168.220.14,43394,11062_193,80.0,1,      66,1,.A....,0,normal,---
2017-03-16 13:37:05.495,0.033,TCP  ,10796_85,443,192.168.220.11,33655.0,3,     377,1,.AP.S.,32,normal,---
2017-03-15 09:44:31.504,0.0,TCP  ,10667_192,443,192.168.220.7,35032.0,1,     803,1,.AP...,32,normal,---
2017-03-20 22:38:47.904,0.0,UDP  ,192.168.220.13,137,192.168.220.255,137.0,1,92,1,......,0,normal,---
2017-03-16 14:12:07.607,0.0,TCP  ,192.168.220.6,58402,10793_162,80.0,1,      66,1,.A....,0,normal,---
2017-03-21 16:50:59.918,0.0,TCP  ,10199_14,80,192.168.220.9,53087.0,1,      66,1,.A....,32,normal,---
2017-03-21 13:36:39.515,0.691,TCP  ,192.168.220.4,47363,10124_1,80.0,5,     769,1,.AP.SF,0,normal,---
2017-03-20 11:34:29.637,0.0,TCP  ,11490_255,443,192.168.220.16,51725.0,1,      66,1,.A....,32,normal,---
2017-03-21 09:49:56.414,0.032,TCP  ,12324_27,80,192.168.220.16,45155.0,4,    2336,1,.AP.S.,32,normal,---
2017-03-15 12:23:53.039,0.197,TCP  ,192.168.220.6,54600,10784_4,443.0,8,    1864,1,.AP.S.,0,normal,---
2017-03-16 15:37:19.095,0.372,TCP  ,192.168.220.11,54499,12109_60,443.0,4,     264,1,.A...F,0,normal,---
2017-03-15 14:32:11.955,0.0,TCP  ,192.168.220.6,51063,10082_56,443.0,1,      66,1,.A....,0,normal,---
2017-03-21 17:28:18.659,0.0,UDP  ,192.168.200.2,67,192.168.200.9,68.0,1,     342,1,......,192,normal,---
2017-03-16 15:34:20.584,0.036,UDP  ,DNS,53,192.168.220.13,49759.0,2,     418,1,......,0,normal,---
2017-03-15 17:11:06.601,0.035,UDP  ,192.168.220.15,36035,DNS,53.0,2,     150,1,......,0,normal,---
2017-03-16 16:55:04.792,0.0,TCP  ,10311_147,443,192.168.220.6,36364.0,1,      66,1,.A....,0,normal,---
2017-03-21 18:35:12.956,0.0,TCP  ,192.168.220.14,44584,10321_204,443.0,1,      66,1,.A....,0,normal,---
2017-03-17 14:33:11.911,2.673,TCP  ,192.168.220.8,49618,10005_36,443.0,10,    1235,1,.AP...,0,normal,---
2017-03-21 09:08:05.363,0.021,TCP  ,192.168.220.10,60823,10965_52,80.0,2,     132,1,.A...F,0,normal,---
2017-03-15 14:44:36.434,0.0,TCP  ,192.168.220.13,59735,10261_231,443.0,1,      66,1,.A....,0,normal,---
2017-03-16 18:50:54.130,0.0,UDP  ,192.168.210.5,63633,DNS,53.0,1,      87,1,......,0,normal,---
2017-03-15 12:06:17.711,0.0,TCP  ,10022_249,80,192.168.220.6,47481.0,1,      66,1,.A....,32,normal,---
2017-03-16 14:19:03.482,0.245,TCP  ,10488_11,80,192.168.220.6,53961.0,2,     132,1,.A....,32,normal,---
2017-03-20 11:57:40.843,0.0,TCP  ,192.168.220.13,44342,10251_54,443.0,1,      66,1,.A....,0,normal,---
2017-03-15 15:16:24.340,0.0,TCP  ,10027_249,443,192.168.210.5,61445.0,1,      66,1,.A....,32,normal,---
2017-03-16 10:45:46.150,0.0,TCP  ,11294_119,443,192.168.220.13,43777.0,1,      66,1,.A....,32,normal,---
2017-03-21 18:11:58.680,0.0,TCP  ,192.168.220.15,55526,10983_96,443.0,1,      66,1,.A....,0,normal,---
2017-03-20 07:57:11.938,0.0,UDP  ,192.168.210.5,54356,DNS,53.0,1,      82,1,......,0,normal,---
2017-03-15 13:11:10.773,0.039,TCP  ,192.168.220.15,58469,10012_27,443.0,6,     621,1,.AP.S.,0,normal,---
2017-03-17 20:00:28.503,0.0,TCP  ,192.168.100.5,445,192.168.220.12,50836.0,1,     108,1,.AP...,0,normal,---
2017-03-18 11:28:15.923,0.004,TCP  ,192.168.220.14,34107,10069_75,80.0,2,     108,1,.A...F,0,normal,---
2017-03-15 12:46:34.039,0.0,UDP  ,192.168.220.13,43395,DNS,53.0,2,     146,1,......,0,normal,---
2017-03-21 10:56:38.440,0.032,TCP  ,192.168.220.5,53973,10001_232,80.0,8,    1943,1,.AP...,0,normal,---
2017-03-15 10:19:59.345,0.223,TCP  ,192.168.200.9,53969,EXT_SERVER,8082.0,2,     319,1,.AP...,0,normal,---
2017-03-15 07:11:17.315,0.0,TCP  ,192.168.220.7,54514,10310_200,80.0,1,      66,1,.A....,0,normal,---
2017-03-17 16:12:04.581,0.063,TCP  ,192.168.220.10,34982,10296_227,443.0,2,     178,1,.AP...,0,normal,---
2017-03-16 17:00:50.732,2.272,TCP  ,10704_22,80,192.168.200.8,55801.0,27,   61352,1,.AP.S.,32,normal,---
2017-03-15 09:45:36.611,0.0,TCP  ,10012_19,80,192.168.220.16,43419.0,1,      66,1,.A....,32,normal,---
2017-03-16 09:19:06.262,0.0,TCP  ,10499_66,80,192.168.220.7,59970.0,1,      66,1,.A....,32,normal,---
2017-03-17 14:37:36.112,2.531,TCP  ,10098_125,443,192.168.220.14,60812.0,9,    5033,1,.AP.S.,32,normal,---
2017-03-15 18:52:55.929,0.002,UDP  ,DNS,53,192.168.220.8,50570.0,2,     390,1,......,0,normal,---
2017-03-21 23:01:48.464,0.0,TCP  ,10012_49,80,192.168.210.5,52747.0,1,      66,1,.A....,32,normal,---
2017-03-21 13:52:55.683,0.0,TCP  ,10055_190,443,192.168.220.11,53499.0,1,      66,1,.A....,32,normal,---
2017-03-21 15:19:32.363,0.0,TCP  ,192.168.220.8,43674,10052_62,80.0,1,      66,1,.A....,0,normal,---
2017-03-21 11:50:59.331,0.065,TCP  ,192.168.220.16,47964,10199_10,443.0,2,     178,1,.AP...,0,normal,---
2017-03-17 14:31:45.047,0.0,TCP  ,192.168.220.8,56798,10756_68,443.0,1,      66,1,.A....,0,normal,---
2017-03-20 11:15:08.783,0.049,TCP  ,10106_76,80,192.168.220.14,56747.0,5,     495,1,.AP.SF,0,normal,---
2017-03-15 11:49:59.027,0.0,TCP  ,10081_164,80,192.168.220.12,42591.0,1,      66,1,.A....,0,normal,---
2017-03-17 16:58:35.266,0.0,TCP  ,12154_220,443,192.168.220.4,55376.0,2,     163,1,.AP..F,32,normal,---
2017-03-21 16:52:34.403,0.0,TCP  ,192.168.100.5,445,192.168.220.4,53065.0,1,     108,1,.AP...,0,normal,---
2017-03-15 06:25:36.964,0.0,TCP  ,EXT_SERVER,8082,192.168.200.4,56979.0,1,     212,1,.AP...,32,normal,---
2017-03-18 08:27:09.909,0.0,TCP  ,192.168.220.7,45451,10090_217,80.0,1,      66,1,.A....,0,normal,---
2017-03-20 16:51:17.384,0.0,TCP  ,11930_240,443,192.168.220.8,33554.0,1,      66,1,.A....,32,normal,---
2017-03-21 14:04:11.173,0.266,TCP  ,10088_9,80,192.168.210.4,61863.0,5,    1664,1,.AP...,32,normal,---
2017-03-17 12:35:22.246,0.537,TCP  ,10296_230,80,192.168.220.6,55843.0,2,     645,1,.AP...,32,normal,---
2017-03-15 13:23:33.192,0.0,TCP  ,192.168.220.12,48981,10307_56,80.0,1,      66,1,.A...F,0,normal,---
2017-03-15 17:14:47.760,0.0,TCP  ,192.168.220.14,51002,10261_231,443.0,1,      66,1,.A....,0,normal,---
2017-03-15 13:16:28.364,0.0,TCP  ,192.168.220.16,56652,10086_192,80.0,1,      66,1,.A....,0,normal,---
2017-03-16 07:09:40.020,0.003,UDP  ,192.168.220.7,39981,DNS,53.0,2,     158,1,......,0,normal,---
2017-03-17 10:42:38.439,0.0,TCP  ,192.168.220.13,37215,192.168.100.5,445.0,1,      66,1,.A....,0,normal,---
2017-03-21 18:13:20.203,0.0,TCP  ,192.168.220.8,36898,10012_67,443.0,1,      66,1,.A....,0,normal,---
2017-03-15 15:38:24.728,0.072,TCP  ,10574_124,443,192.168.200.4,51364.0,4,     424,1,.AP.S.,32,normal,---
2017-03-21 15:51:41.127,0.004,TCP  ,14389_30,443,192.168.220.4,45027.0,3,     229,1,.AP..F,32,normal,---
2017-03-21 14:24:40.878,0.0,TCP  ,192.168.220.4,46439,14147_159,443.0,1,      66,1,.A....,0,normal,---
2017-03-16 08:42:34.635,0.28,TCP  ,11822_249,443,192.168.220.13,47815.0,4,     417,1,.AP.S.,32,normal,---
2017-03-19 18:19:36.733,0.0,TCP  ,192.168.100.5,445,192.168.220.14,40509.0,1,     108,1,.AP...,0,normal,---
2017-03-15 15:05:24.558,0.41,UDP  ,192.168.220.5,39549,DNS,53.0,2,     154,1,......,0,normal,---
2017-03-20 14:12:07.734,7.654,TCP  ,192.168.220.9,44760,10499_34,443.0,94,   16265,1,.AP...,0,normal,---
2017-03-16 11:46:58.655,0.009,TCP  ,192.168.200.8,51800,10150_70,443.0,3,     163,1,.A...F,0,normal,---
2017-03-19 10:05:39.838,0.0,TCP  ,10081_164,80,192.168.200.8,49196.0,1,      54,1,.A...F,0,normal,---
2017-03-20 15:43:56.348,2.424,TCP  ,192.168.220.15,45589,10296_226,443.0,55,   10239,1,.AP...,0,normal,---
2017-03-16 10:05:22.209,0.0,TCP  ,192.168.100.5,445,192.168.220.12,53169.0,1,     108,1,.AP...,0,normal,---
2017-03-21 11:27:41.970,0.0,TCP  ,192.168.220.8,48315,10321_204,443.0,1,      66,1,.A....,0,normal,---
2017-03-15 10:59:15.730,0.084,TCP  ,192.168.210.4,60236,10183_10,80.0,119,    6772,1,.AP.S.,0,normal,---
2017-03-16 09:28:43.568,0.083,TCP  ,192.168.220.4,44924,10527_4,443.0,10,    2285,1,.AP.S.,0,normal,---
2017-03-16 13:35:21.383,0.0,UDP  ,DNS,53,192.168.200.9,63197.0,1,     146,1,......,0,normal,---
2017-03-15 11:02:28.170,0.237,TCP  ,192.168.220.14,60175,10548_92,80.0,2,     132,1,.A...F,0,normal,---
2017-03-17 10:55:41.485,0.026,TCP  ,11250_25,80,192.168.220.6,37850.0,2,     132,1,.A...F,32,normal,---
2017-03-16 15:15:19.434,0.07,TCP  ,10292_67,80,192.168.220.12,41298.0,20,   23814,1,.AP.S.,32,normal,---
2017-03-17 18:26:58.738,0.0,TCP  ,10010_37,80,192.168.220.14,59647.0,2,     132,1,.A...F,32,normal,---
2017-03-17 04:21:18.930,0.0,UDP  ,192.168.220.4,137,192.168.220.255,137.0,1,      92,1,......,0,normal,---
2017-03-20 17:51:55.154,0.0,TCP  ,11047_59,443,192.168.200.8,58014.0,1,      66,1,.A....,32,normal,---
2017-03-21 15:53:30.385,0.002,TCP  ,192.168.220.4,33015,192.168.100.4,993.0,3,     174,1,.A.R.F,0,normal,---
2017-03-19 18:22:45.742,0.0,UDP  ,192.168.100.4,45393,DNS,53.0,1,      74,1,......,0,normal,---
2017-03-16 10:36:08.298,0.0,UDP  ,DNS,53,192.168.220.15,40011.0,2,     270,1,......,0,normal,---
2017-03-15 07:37:36.169,0.0,UDP  ,192.168.220.9,41857,DNS,53.0,2,     160,1,......,0,normal,---
2017-03-17 15:11:16.889,0.031,TCP  ,192.168.220.6,49946,10222_218,80.0,2,     132,1,.A...F,0,normal,---
2017-03-16 11:06:51.121,0.0,TCP  ,192.168.220.6,48588,10071_22,80.0,1,      66,1,.A....,0,normal,---
2017-03-15 18:38:48.219,0.0,TCP  ,192.168.220.8,35466,10064_169,443.0,1,      66,1,.A....,0,normal,---
2017-03-15 09:44:49.631,0.003,UDP  ,192.168.220.11,47685,DNS,53.0,2,     142,1,......,0,normal,---
2017-03-15 10:36:52.111,0.0,TCP  ,10000_35,443,192.168.220.16,54029.0,1,      66,1,.A....,0,normal,---
2017-03-17 13:15:58.445,0.0,TCP  ,192.168.200.4,53120,10004_7,443.0,1,      66,1,.A...F,0,normal,---
2017-03-21 13:21:45.497,0.131,TCP  ,192.168.220.16,44766,192.168.200.4,22.0,13,    3181,1,.AP.S.,0,attacker,bruteForce
